instruction,action
"""""",['Straight']
"""Continue straight on this route until you see the sign.""",['Straight']
"""Go straight onto the highway exit ramp.""",['Straight']
"""Head straight along this avenue.""",['Straight']
"""Navigate the roundabout and take the exit straight.""",['Straight']
"""Follow the road straight until you reach the river.""",['Straight']
"""Proceed straight through the upcoming crossroad.""",['Straight']
"""Stay in the middle lane and drive straight.""",['Straight']
"""Go straight through the tunnel entrance.""",['Straight']
"""Follow the road straight for the next mile.""",['Straight']
"""Follow the road ahead in a straight line.""",['Straight']
"""Progress straight ahead on the main thoroughfare.""",['Straight']
"""Continue straight past the upcoming curve.""",['Straight']
"""Drive straight ahead past the next set of lights.""",['Straight']
"""Navigate straight through the upcoming curve.""",['Straight']
"""Drive ahead without making any turns.""",['Straight']
"""Stay on this route moving straight ahead.""",['Straight']
"""Keep moving straight on the freeway.""",['Straight']
"""Remain on the road straight ahead.""",['Straight']
"""Drive straight and cross over the river bridge.""",['Straight']
"""Continue on the highway without any turns.""",['Straight']
"""Travel straight and merge with the flow of traffic.""",['Straight']
"""Continue forward and stay in the right lane.""",['Straight']
"""Carry on straight without turning.""",['Straight']
"""Keep your eyes forward and go straight ahead.""",['Straight']
"""Go straight on this street.""",['Straight']
"""Continue straight along the coastline.""",['Straight']
"""Stay straight to follow the road as it winds.""",['Straight']
"""Go straight and watch for the next exit.""",['Straight']
"""Continue straight onto the highway ramp.""",['Straight']
"""Advance without any turns in a straight line.""",['Straight']
"""Go straight following the riverbank.""",['Straight']
"""Proceed straight through the upcoming bend.""",['Straight']
"""Keep your vehicle moving in a straight line.""",['Straight']
"""Drive straight until you reach the traffic lights.""",['Straight']
"""Continue on this road without turning.""",['Straight']
"""Stay straight and follow the road.""",['Straight']
"""Drive straight ahead at the next crossing.""",['Straight']
"""Go straight and pass the next traffic signal.""",['Straight']
"""Drive straight ahead through the suburbs.""",['Straight']
"""Drive straight without any detours.""",['Straight']
"""Proceed straight ahead at the stop sign.""",['Straight']
"""Keep driving straight for another two blocks.""",['Straight']
"""Move straight down the street.""",['Straight']
"""Drive straight on the upcoming portion of the road.""",['Straight']
"""Continue straight along this road.""",['Straight']
"""Drive straight and cross the upcoming intersection.""",['Straight']
"""Drive straight under the overpass.""",['Straight']
"""Drive straight past the upcoming rest area.""",['Straight']
"""Go straight and pass the next cross street.""",['Straight']
"""Stay straight and navigate ahead.""",['Straight']
"""Travel straight through the upcoming junction.""",['Straight']
"""Stay on this road and drive straight forward.""",['Straight']
"""Stay straight and drive ahead on the highway.""",['Straight']
"""Keep straight ahead without altering your course.""",['Straight']
"""Head straight on this main road.""",['Straight']
"""Make sure to go straight after the bridge.""",['Straight']
"""Continue straight on the road without any turns.""",['Straight']
"""Keep straight as the road curves.""",['Straight']
"""Maintain your current course and go straight ahead.""",['Straight']
"""Proceed forward without any deviations.""",['Straight']
"""Go straight past the school.""",['Straight']
"""Follow the road straight through the neighborhood.""",['Straight']
"""Stay in the middle lane and proceed straight.""",['Straight']
"""Travel straight through the downtown district.""",['Straight']
"""Continue in a straight direction at the upcoming fork.""",['Straight']
"""Drive straight along the winding mountain road.""",['Straight']
"""Drive straight and turn left at the crossroads.""",['Straight']
"""Continue driving straight on this road.""",['Straight']
"""Go straight on this highway.""",['Straight']
"""Keep your vehicle on a straight path.""",['Straight']
"""Proceed straight past the next few signals.""",['Straight']
"""Maintain a straight course as you drive.""",['Straight']
"""Keep moving in a straight line on this road.""",['Straight']
"""Continue straight ahead through the school zone.""",['Straight']
"""Move straight ahead.""",['Straight']
"""Continue straight for another 3 blocks.""",['Straight']
