instruction,action
"""Continue forward without any turns.""",['Straight']
"""Proceed straight across the bridge.""",['Straight']
"""Head directly forward without veering off course.""",['Straight']
"""Continue straight through the next set of traffic lights.""",['Straight']
"""Continue driving straight without any obstacles.""",['Straight']
"""Continue along this road in a straight line.""",['Straight']
"""Keep the vehicle moving straight on the parkway.""",['Straight']
"""Keep driving straight on this avenue.""",['Straight']
"""Stay straight on the dual carriageway.""",['Straight']
"""Stay in the right lane and continue straight.""",['Straight']
"""Drive straight on the avenue for two miles.""",['Straight']
"""Proceed straight without deviating from the path.""",['Straight']
"""Proceed straight along the riverbank.""",['Straight']
"""Drive straight past the upcoming roundabout.""",['Straight']
"""Navigate straight through the rural area.""",['Straight']
"""Proceed straight through the tunnel.""",['Straight']
"""Drive straight for another quarter mile.""",['Straight']
"""Stay straight as the road bends to the right.""",['Straight']
"""Head straight through the residential neighborhood.""",['Straight']
"""Drive straight ahead on the mountain pass.""",['Straight']
"""Remain on this road in a straight line.""",['Straight']
"""Drive straight past the shopping center.""",['Straight']
"""Continue straight ahead on the highway.""",['Straight']
"""Drive straight past the old barn.""",['Straight']
"""Continue driving without making any turns.""",['Straight']
"""Keep going straight through the neighborhood.""",['Straight']
"""Drive straight through the construction zone.""",['Straight']
"""Drive straight without changing direction.""",['Straight']
"""Continue straight along this road.""",['Straight']
"""Proceed straight on the overpass.""",['Straight']
"""Continue on this road with no turns.""",['Straight']
"""Continue in a straight line without any curves.""",['Straight']
"""Keep driving straight ahead.""",['Straight']
"""Stay straight on the detour route.""",['Straight']
"""Proceed straight along the river.""",['Straight']
"""Maintain your course straight ahead.""",['Straight']
"""Proceed in a straight line without any detours.""",['Straight']
"""Stay on this road and continue straight ahead.""",['Straight']
"""Drive straight past the upcoming stop sign.""",['Straight']
"""Go straight past the upcoming traffic circle.""",['Straight']
"""Go straight at the fork near the forest.""",['Straight']
"""Proceed straight through the pedestrian crossing.""",['Straight']
"""Proceed straight on this one-way street.""",['Straight']
"""Stay on this road straight until you see the sign.""",['Straight']
"""Stay in the left lane and continue straight.""",['Straight']
"""Continue ahead on this road.""",['Straight']
"""Continue straight past the school zone.""",['Straight']
"""Keep your vehicle moving forward in a straight line.""",['Straight']
"""Continue straight along this avenue.""",['Straight']
"""Proceed straight through the next two intersections.""",['Straight']
"""Stay straight on the road ahead.""",['Straight']
"""Proceed ahead along the same route.""",['Straight']
"""Continue straight until you reach the next traffic light.""",['Straight']
"""Drive straight along the coastline.""",['Straight']
"""Drive straight ahead over the bridge.""",['Straight']
"""Keep the vehicle moving straight on the boulevard.""",['Straight']
"""Continue straight on the curved road.""",['Straight']
"""Stay straight as you cross the intersection.""",['Straight']
"""Drive straight past the sports stadium.""",['Straight']
"""Drive straight ahead at the fork in the road.""",['Straight']
"""Stay in the middle lane and drive straight.""",['Straight']
"""Stay the course straight ahead.""",['Straight']
"""Continue straight at the crossroads.""",['Straight']
"""Continue straight through the industrial district.""",['Straight']
"""Go straight through the industrial district.""",['Straight']
"""Drive straight through the intersection.""",['Straight']
"""Follow the road straight into the tunnel.""",['Straight']
"""Continue straight through the tunnel.""",['Straight']
"""Proceed straight through the construction zone.""",['Straight']
"""Keep your vehicle moving in a straight line.""",['Straight']
"""Drive straight until you reach the highway entrance.""",['Straight']
"""Drive straight towards the church steeple.""",['Straight']
"""Keep the car moving straight on the expressway.""",['Straight']
"""Stay straight on the scenic route.""",['Straight']
"""Go straight through the underpass.""",['Straight']
"""Maintain your course in a straight line.""",['Straight']
"""Stay on this road for the next few miles.""",['Straight']
"""Continue straight on the coastal road.""",['Straight']
"""Proceed straight through the upcoming intersection.""",['Straight']
"""Drive straight ahead on the main thoroughfare.""",['Straight']
"""Head straight towards the sunset.""",['Straight']
"""Drive straight past the gas station.""",['Straight']
"""Continue straight towards the skyscrapers.""",['Straight']
"""Follow the road straight as it curves to the left.""",['Straight']
"""Stay straight on the road until you reach the intersection.""",['Straight']
"""Drive straight through the green light.""",['Straight']
"""Maintain a straight path on this road.""",['Straight']
"""Drive straight until the road curves.""",['Straight']
"""Remain on this road going straight.""",['Straight']
"""Head straight on the one-way street.""",['Straight']
"""Stay in the right lane and go straight.""",['Straight']
"""Continue forward without turning.""",['Straight']
"""Navigate straight through the warehouse district.""",['Straight']
"""Drive straight ahead on the country road.""",['Straight']
"""Keep going straight towards the lighthouse.""",['Straight']
"""Keep moving straight down the street.""",['Straight']
"""Stay in the middle lane and go straight.""",['Straight']
"""Go straight past the upcoming merge point.""",['Straight']
"""Proceed straight through the four-way stop.""",['Straight']
"""Stay on this road straight ahead.""",['Straight']
"""Drive in a straight line until you reach the next turn.""",['Straight']
"""Go straight through the toll booth.""",['Straight']
"""Continue straight past the shopping center.""",['Straight']
"""Go straight down the hill.""",['Straight']
"""Follow the road straight ahead.""",['Straight']
"""Keep moving straight ahead.""",['Straight']
"""Keep moving forward without any turns.""",['Straight']
"""Head straight on the city street.""",['Straight']
"""Drive straight alongside the park.""",['Straight']
"""Proceed straight past the railroad tracks.""",['Straight']
"""Follow the road straight into the forest.""",['Straight']
"""Maintain a straight path until the next turnoff.""",['Straight']
"""Navigate straight through the traffic circle.""",['Straight']
"""Drive straight until you see the next exit.""",['Straight']
"""Travel straight for the next 2 miles.""",['Straight']
"""Head straight through the intersection.""",['Straight']
"""Go straight until you see the next street sign.""",['Straight']
"""Navigate straight through the construction zone.""",['Straight']
"""Continue forward in a straight line.""",['Straight']
"""Stay on course and drive straight.""",['Straight']
"""Go straight past the playground.""",['Straight']
"""Stay in the current lane and drive straight.""",['Straight']
"""Continue on this road without turning.""",['Straight']
"""Stay in the left lane and go straight.""",['Straight']
"""Head straight down the winding road.""",['Straight']
"""Keep an eye out for the right turn ahead.""",['Right']
"""Approach the parking lot entrance and turn right.""",['Right']
"""Follow the curve to the right.""",['Right']
"""Enter the roundabout and take the fourth right.""",['Right']
"""Bear right at the fork and continue down the scenic route.""",['Right']
"""After the bridge, turn right at the intersection.""",['Right']
"""Keep an eye out for the right turn onto the service road.""",['Right']
"""Signal and prepare to turn right at the yield sign.""",['Right']
"""At the intersection, turn right to reach the destination.""",['Right']
"""Navigate the cloverleaf interchange and turn right.""",['Right']
"""Follow the curve to the right to stay on the road.""",['Right']
"""Follow the signs and turn right at the fork in the road.""",['Right']
"""Pass the gas station, then turn right.""",['Right']
"""Make a decisive right turn at the unmarked crossroad.""",['Right']
"""Pass the gas station, then make a right turn.""",['Right']
"""Signal and merge right to pass the slow-moving vehicle.""",['Right']
"""Turn right at the next alleyway.""",['Right']
"""Approach the intersection and turn right.""",['Right']
"""Make a right turn at the upcoming stop sign.""",['Right']
"""Proceed straight and take the second right.""",['Right']
"""Use your right-hand signal to indicate a turn at the next intersection.""",['Right']
"""Look both ways before turning right at the stoplight.""",['Right']
"""Proceed straight and then turn right at the corner.""",['Right']
"""Stay on the right side of the road.""",['Right']
"""Proceed ahead, then turn right onto the side road.""",['Right']
"""Slightly angle your car to the right for the next street.""",['Right']
"""Turn right onto the street lined with shops.""",['Right']
"""Exit the roundabout by turning right.""",['Right']
"""Look for the street sign and turn right.""",['Right']
"""Veer slightly right to avoid the potholes on the road.""",['Right']
"""Keep an eye out for the right turn lane ahead.""",['Right']
"""Make a safe right turn at the crosswalk.""",['Right']
"""Turn right at the fork with the large oak tree.""",['Right']
"""Make a legal U-turn and then turn right.""",['Right']
"""Follow the signs for the right turn.""",['Right']
"""At the fork, take the right-hand path.""",['Right']
"""Adjust your mirror before signaling a right turn.""",['Right']
"""Use your judgment to decide the right time to turn.""",['Right']
"""Swing the steering wheel to the right at the fork in the road.""",['Right']
"""Proceed straight, then make a right onto the avenue.""",['Right']
"""At the fork, veer right to continue on the main road.""",['Right']
"""Join the highway and merge to the right lane.""",['Right']
"""Slow down and prepare to turn right at the corner.""",['Right']
"""Proceed ahead, then turn right at the next crossroad.""",['Right']
"""Exit right at the upcoming off-ramp.""",['Right']
"""After the railroad crossing, make a right turn.""",['Right']
"""Press the indicator for a right turn at the upcoming traffic light.""",['Right']
"""Proceed to the right lane to exit the freeway.""",['Right']
"""Proceed straight and then turn right at the traffic circle.""",['Right']
"""Take the next right onto the residential street.""",['Right']
"""Turn right after passing the bus stop.""",['Right']
"""Veer slightly right as you approach the traffic circle.""",['Right']
"""Turn right at the junction where the road splits.""",['Right']
"""Turn right onto the side street lined with flower beds.""",['Right']
