instruction,action
"""Travel straight ahead without turning.""",['Straight']
"""Travel in a straight line ahead.""",['Straight']
"""Carry on in a direct route.""",['Straight']
"""Maintain a straight path forward.""",['Straight']
"""Stay on this path without veering.""",['Straight']
"""Travel without altering your direction.""",['Straight']
"""Progress in a direct line.""",['Straight']
"""Continue straight ahead on this road.""",['Straight']
"""Keep driving straight ahead.""",['Straight']
"""Drive without making any turns.""",['Straight']
"""Move straight without any deviations.""",['Straight']
"""Proceed forward without any turns.""",['Straight']
"""Drive in a continuous line down this road.""",['Straight']
"""Drive without turning off.""",['Straight']
"""Go in a linear path.""",['Straight']
"""Travel onward without making a turn.""",['Straight']
"""Go forward in a direct manner.""",['Straight']
"""Move in a straight line down this street.""",['Straight']
"""Go ahead without any detours.""",['Straight']
"""Continue onward without deviation.""",['Straight']
"""Continue on the road without turning.""",['Straight']
"""Stay in a forward motion.""",['Straight']
"""Stay on the same trajectory without deviation.""",['Straight']
"""Carry on without changing direction.""",['Straight']
"""Move straight along the street.""",['Straight']
"""Choose the eastward direction to proceed.""",['Right']
"""Continue on the path leading to the east.""",['Right']
"""Make a veer in the opposite direction of left.""",['Right']
"""Proceed to the side that is not left.""",['Right']
"""Navigate in the direction opposite of left.""",['Right']
"""Head in the clockwise direction.""",['Right']
"""Make a veer in the direction that isn't left.""",['Right']
"""Head in the clockwise direction at the junction.""",['Right']
"""Turn in the direction that isn't left.""",['Right']
"""Continue on the side that isn't left.""",['Right']
"""Navigate to the side of correctness.""",['Right']
"""Take a turn in the direction of the east.""",['Right']
"""Continue on the side opposite of left.""",['Right']
"""Go in the opposite direction of left.""",['Right']
"""Make a turn towards the starboard side.""",['Right']
"""Steer towards the eastward direction.""",['Right']
"""Proceed towards the eastward direction.""",['Right']
"""Proceed towards the right side.""",['Right']
"""Make a veer towards the correct side.""",['Right']
"""Take the turn that is not left.""",['Right']
"""Choose the correct side to turn towards.""",['Right']
"""Turn towards the direction of the east.""",['Right']
"""Navigate towards the starboard side.""",['Right']
"""Steer in the opposite direction of left.""",['Right']
"""Continue on the path leading to the right.""",['Right']
"""Drive in concert with the traffic flow.""",['LaneFollow']
"""Stay aligned with the vehicles surrounding you.""",['LaneFollow']
"""Stay aligned with the cars on either side.""",['LaneFollow']
"""Remain in your current lane as it merges with another.""",['LaneFollow']
"""Stay side by side with the cars around you.""",['LaneFollow']
"""Continue along the same path as the car in front.""",['LaneFollow']
"""Follow the lead of the vehicle in front.""",['LaneFollow']
"""Stay on course with the vehicle in front of you.""",['LaneFollow']
"""Proceed in the same direction as the cars around you.""",['LaneFollow']
"""Stay in sync with the flow of traffic.""",['LaneFollow']
"""Stick to the same lane as the cars nearby.""",['LaneFollow']
"""Stay in sync with the traffic pattern.""",['LaneFollow']
"""Adhere to the current lane you're in.""",['LaneFollow']
"""Stick to the path ahead of you.""",['LaneFollow']
"""Drive in parallel with the vehicles alongside.""",['LaneFollow']
"""Follow the road as it curves to the left.""",['LaneFollow']
"""Keep in line with the cars on either side.""",['LaneFollow']
"""Follow the direction of the road as it bends.""",['LaneFollow']
"""Stay in the flow of traffic ahead.""",['LaneFollow']
"""Keep pace with the vehicle next to you.""",['LaneFollow']
"""Drive parallel to the center divider.""",['LaneFollow']
"""Stay on track with the vehicles beside you.""",['LaneFollow']
"""Maintain your current positioning relative to other cars.""",['LaneFollow']
"""Follow the same trajectory as the vehicles ahead.""",['LaneFollow']
"""Drive in unison with the flow of traffic.""",['LaneFollow']
"""Make a leftward twist at the next bend.""",['Left']
"""Go towards the portside at the fork in the road.""",['Left']
"""Follow the curve to the port side.""",['Left']
"""Make a leftward detour at the upcoming intersection.""",['Left']
"""Veer off to the sinistral path ahead.""",['Left']
"""Navigate towards the leftmost side of the road.""",['Left']
"""Follow the curve in the larboard direction.""",['Left']
"""Drive towards the leftward dip in the road.""",['Left']
"""Take the pathway leading to the port.""",['Left']
"""Make a leftward turn at the fork in the road.""",['Left']
"""Turn onto the widdershins route.""",['Left']
"""Follow the curve leading towards the northwest.""",['Left']
"""Follow the northwestward path.""",['Left']
"""Navigate towards the northwestern side.""",['Left']
"""Navigate towards the north-northwest direction.""",['Left']
"""Continue along the larboard side of the road.""",['Left']
"""Make a leftward move at the next intersection.""",['Left']
"""Drive along the portside boundary.""",['Left']
"""Proceed along the moonward path.""",['Left']
"""Head in the counterclockwise direction at the intersection.""",['Left']
"""Steer towards the left-hand side of the road.""",['Left']
"""Go in the sinistral direction at the next turn.""",['Left']
"""Head in the counterclockwise direction at the next junction.""",['Left']
"""Drive along the widdershins route.""",['Left']
"""Take the road leading to the leeward side.""",['Left']
