instruction,action
"""Drive in the easternward direction.""",['Right']
"""Go towards the direction that is clockwise.""",['Right']
"""Turn towards the side aligned with the compass point east at the next crossroads.""",['Right']
"""Move towards the east side at the next intersection you reach.""",['Right']
"""Drive towards the direction facing east.""",['Right']
"""Veer towards the starboard side.""",['Right']
"""Steer your vehicle towards the side that is opposite of the left.""",['Right']
"""Move towards the eastern side of the street.""",['Right']
"""Follow the path that leads towards the opposite of the left at the upcoming street.""",['Right']
"""Point your vehicle in the direction that's not the left at the upcoming turn.""",['Right']
"""Swing to the opposite side of the left at the upcoming intersection.""",['Right']
"""Steer towards the east as you approach the next traffic signal.""",['Right']
"""Make a turn towards the side that's not the left at the upcoming crossroads.""",['Right']
"""Proceed to the eastward direction.""",['Right']
"""Go towards the right side of the street.""",['Right']
"""Direct your vehicle in the clockwise direction at the upcoming turn.""",['Right']
"""Turn towards the side that's opposite to the left.""",['Right']
"""Head towards the right-hand side of the road.""",['Right']
"""Drive your vehicle towards the side that's to the right of the left at the next junction.""",['Right']
"""Point your vehicle towards the direction that's not the left at the upcoming crossroads.""",['Right']
"""Navigate your vehicle to the direction facing east.""",['Right']
"""Adjust your course to the side opposite of the left.""",['Right']
"""Swing to the side that's not the left at the next junction.""",['Right']
"""Follow the path leading to the right.""",['Right']
"""Navigate towards the side that's to the right of the left at the next intersection.""",['Right']
"""Go in the opposite direction of the left.""",['Right']
"""Proceed towards the eastern direction at the upcoming junction.""",['Right']
"""Proceed in the direction opposite of left.""",['Right']
"""Turn your vehicle to the east side of the road.""",['Right']
"""Point your vehicle towards the direction where the sun sets at the upcoming turn.""",['Right']
"""Head towards the east direction at the next corner.""",['Right']
"""Drive in the opposite direction of the left side.""",['Right']
"""Head in the clockwise direction at the following intersection.""",['Right']
"""Navigate your vehicle to the starboard side.""",['Right']
"""Steer your vehicle towards the side opposite of the left.""",['Right']
"""Follow the path that's not the left at the next intersection you encounter.""",['Right']
"""Guide your vehicle to the right.""",['Right']
