instruction,action
"""Stay on the same route without deviating.""",['Straight']
"""Travel straightforwardly.""",['Straight']
"""Follow the road ahead without turning.""",['Straight']
"""Navigate directly forward on the current route.""",['Straight']
"""Proceed in a linear fashion until you reach the next landmark.""",['Straight']
"""Drive in a linear fashion ahead.""",['Straight']
"""Follow the road in front of you.""",['Straight']
"""Proceed forward without changing direction or making any turns.""",['Straight']
"""Carry on straight through the intersection.""",['Straight']
"""Keep on the same road.""",['Straight']
"""Stay the course without any changes in direction.""",['Straight']
"""Move forward on the road until you come to the bend.""",['Straight']
"""Drive straight ahead through the intersection.""",['Straight']
"""Continue ahead without any changes in direction.""",['Straight']
"""Stay on the road straight ahead.""",['Straight']
"""Drive in a direct line ahead.""",['Straight']
"""Drive straight ahead on this roadway.""",['Straight']
"""Proceed forward without changing direction.""",['Straight']
"""Drive straight without making any detours.""",['Straight']
"""Proceed along the straight road.""",['Straight']
"""Stick to the direct path.""",['Straight']
"""Continue along this road without making any turns.""",['Straight']
"""Drive straightforward until the next landmark.""",['Straight']
"""Keep moving forward without any deviations.""",['Straight']
"""Travel in a straight line through the junction.""",['Straight']
"""Follow the road ahead without turning.""",['Straight']
"""Proceed without any changes in direction.""",['Straight']
"""Continue driving ahead in a linear direction.""",['Straight']
"""Maintain a direct trajectory forward.""",['Straight']
"""Drive directly ahead without making any turns.""",['Straight']
"""Follow the road without any deviations.""",['Straight']
"""Follow the road ahead as it leads into the mountains.""",['Straight']
"""Stay in a direct line without swerving.""",['Straight']
"""Continue without any deviations from the current path.""",['Straight']
"""Stay on the path in front of you.""",['Straight']
"""Keep to the straight road without swerving.""",['Straight']
"""Keep on the path in front.""",['Straight']
"""Follow the road straight through the intersection.""",['Straight']
"""Follow the road straight through the next intersection.""",['Straight']
"""Continue along the straight path.""",['Straight']
"""Stay in a direct line.""",['Straight']
"""Continue straight on this roadway.""",['Straight']
"""Keep on this same trajectory.""",['Straight']
"""Proceed without deviating from the path.""",['Straight']
"""Continue straight without turning off the route.""",['Straight']
"""Proceed in a direct line on this road.""",['Straight']
"""Continue straight until you""",['Straight']
"""Follow the road straight through.""",['Straight']
"""Stay on the same road without turning.""",['Straight']
"""Keep the same direction without turning.""",['Straight']
"""Stay on the road without any deviations.""",['Straight']
"""Continue driving without any bends.""",['Straight']
"""Maintain your current direction without swerving.""",['Straight']
"""Advance along the road with no turns.""",['Straight']
"""Maintain the current trajectory.""",['Straight']
"""Proceed in a linear trajectory without turning.""",['Straight']
"""Continue without any zigzags in your path.""",['Straight']
"""Carry on straight through the upcoming intersection.""",['Straight']
"""Keep to the direct path in front of you.""",['Straight']
"""Drive directly on the current route.""",['Straight']
"""Keep moving straight along this avenue.""",['Straight']
